id,title,category,subcategory,price,originalPrice,productType,parentSet,material,desc,image
1,Gold Lüks Koltuk Takımı,living,sofas,45000,52000,Set,,İNEGÖL ÜRETİMİ FIRINLANMIŞ MASİF GÜRGEN & GOLD PASLANMAZ METAL,"Gold Koltuk Takımı; antrasit kadife kumaşı, fırınlanmış masif gürgen iskeleti ve özel altın metal ayak detaylarıyla salonunuza lüks ve konforlu bir atmosfer katar.",assets/minegolden_p1_1.webp
2,Gold 3'lü Koltuk,living,sofas,22500,26000,Solo,Gold Lüks Koltuk Takımı,İNEGÖL ÜRETİMİ FIRINLANMIŞ MASİF GÜRGEN & GOLD PASLANMAZ METAL,"Gold serisine ait 3'lü geniş ve konforlu kanepe modülü (G: 225 cm, D: 92 cm, Y: 77 cm).",assets/minegolden_p1_2.webp
3,Gold 2'li Koltuk,living,sofas,17500,20000,Solo,Gold Lüks Koltuk Takımı,İNEGÖL ÜRETİMİ FIRINLANMIŞ MASİF GÜRGEN & GOLD PASLANMAZ METAL,"Gold serisine ait 2'li şık salon kanepesi (G: 180 cm, D: 92 cm, Y: 77 cm).",assets/minegolden_p1_3.webp
4,Gold Tekli Berjer,living,armchairs,11000,13000,Solo,Gold Lüks Koltuk Takımı,İNEGÖL ÜRETİMİ FIRINLANMIŞ MASİF GÜRGEN & GOLD PASLANMAZ METAL,"Gold serisine ait ergonomik yüksek sırt destekli tekli berjer koltuk (G: 70 cm, D: 70 cm, Y: 90 cm).",assets/minegolden_p1_4.webp
5,Zümrüt Avangarde Koltuk Takımı,living,sofas,46500,54000,Set,,MASİF GÜRGEN İSKELET & EL İŞÇİLİĞİ KAPİTONE DÖŞEME,"Zümrüt Koltuk Takımı; canlı fuşya tonları, zarif kapitone dikiş işçiliği ve gold tasarım detaylarıyla yaşam alanınıza saray zarafetini getirir.",assets/minegolden_p2_1.webp
6,Zümrüt 3'lü Koltuk,living,sofas,23500,27000,Solo,Zümrüt Avangarde Koltuk Takımı,MASİF GÜRGEN İSKELET & EL İŞÇİLİĞİ KAPİTONE DÖŞEME,"Zümrüt serisi kapitoneli lüks 3'lü salon kanepesi (G: 220 cm, D: 90 cm, Y: 80 cm).",assets/minegolden_p2_2.webp
7,Zümrüt 2'li Koltuk,living,sofas,18000,21000,Solo,Zümrüt Avangarde Koltuk Takımı,MASİF GÜRGEN İSKELET & EL İŞÇİLİĞİ KAPİTONE DÖŞEME,"Zümrüt serisi 2'li kanepe ünitesi (G: 175 cm, D: 90 cm, Y: 80 cm).",assets/minegolden_p2_3.webp
8,Zümrüt Tekli Berjer,living,armchairs,11500,13500,Solo,Zümrüt Avangarde Koltuk Takımı,MASİF GÜRGEN İSKELET & EL İŞÇİLİĞİ KAPİTONE DÖŞEME,"Zümrüt serisi yuvarlak hatlı tasarım berjer (G: 88 cm, D: 70 cm, Y: 65 cm).",assets/minegolden_p2_4.webp
9,Bohem Natural Keten Koltuk Takımı,living,sofas,42900,49000,Set,,ORGANİK DOKUMA KETEN & MASİF GÜRGEN KASA,"Bohem Koltuk Takımı Natural; doğal keten dokusu, geniş oturum derinliği ve organik formuyla sıcak, samimi ve huzurlu bir oturma odası deneyimi sunar.",assets/minegolden_p3_1.webp
10,Bohem 3'lü Natural Koltuk,living,sofas,22000,25000,Solo,Bohem Natural Keten Koltuk Takımı,ORGANİK DOKUMA KETEN & MASİF GÜRGEN KASA,"Bohem serisine ait doğal keten 3'lü kanepe (G: 215 cm, D: 100 cm).",assets/minegolden_p3_2.webp
11,Bohem Tekli Koltuk,living,armchairs,11000,13000,Solo,Bohem Natural Keten Koltuk Takımı,ORGANİK DOKUMA KETEN & MASİF GÜRGEN KASA,"Bohem serisi tekli rahat koltuk (G: 85 cm, D: 85 cm).",assets/minegolden_p3_4.webp
12,Bohem Natural Puf,living,tables,7500,9000,Solo,Bohem Natural Keten Koltuk Takımı,ORGANİK DOKUMA KETEN & MASİF GÜRGEN KASA,"Bohem serisi keten döşemeli dikdörtgen sehpa puf (G: 90 cm, D: 60 cm).",assets/minegolden_p3_5.webp
13,Mono Modern Koltuk Takımı,living,sofas,44500,51000,Set,,1. SINIF FIRINLANMIŞ GÜRGEN & DOKULU İTHAL KUMAŞ,"Mono Koltuk Takımı; minimalist modern çizgileri, antrasit gri dokulu kumaşı ve ergonomik sırt desteğiyle çağdaş evlerin vazgeçilmezidir.",assets/minegolden_p4_1.webp
14,Mono 3'lü Koltuk,living,sofas,22000,25500,Solo,Mono Modern Koltuk Takımı,1. SINIF FIRINLANMIŞ GÜRGEN & DOKULU İTHAL KUMAŞ,"Mono serisi modern 3'lü kanepe (G: 210 cm, D: 96 cm, Y: 87 cm).",assets/minegolden_p4_2.webp
15,Mono 2'li Koltuk,living,sofas,17000,19500,Solo,Mono Modern Koltuk Takımı,1. SINIF FIRINLANMIŞ GÜRGEN & DOKULU İTHAL KUMAŞ,"Mono serisi 2'li kanepe ünitesi (G: 170 cm, D: 96 cm, Y: 87 cm).",assets/minegolden_p4_3.webp
16,Mono Tekli Berjer,living,armchairs,10500,12500,Solo,Mono Modern Koltuk Takımı,1. SINIF FIRINLANMIŞ GÜRGEN & DOKULU İTHAL KUMAŞ,"Mono serisi ergonomik berjer (G: 75 cm, D: 90 cm, Y: 80 cm).",assets/minegolden_p4_4.webp
17,Leon Ahşap Ayaklı Koltuk Takımı,living,sofas,46000,53000,Set,,DOĞAL CEVİZ AHŞAP AYAKLAR & FIRINLANMIŞ GÜRGEN KASA,"Leon Koltuk Takımı; doğal ceviz ahşap ayakları, geniş oturumu ve zarif dikiş detaylarıyla İskandinav ve modern tasarımın kusursuz birleşimidir.",assets/minegolden_p5_1.webp
18,Leon Ahşap 3'lü Koltuk,living,sofas,23000,26500,Solo,Leon Ahşap Ayaklı Koltuk Takımı,DOĞAL CEVİZ AHŞAP AYAKLAR & FIRINLANMIŞ GÜRGEN KASA,"Leon serisi masif ceviz ayaklı geniş 3'lü koltuk (G: 240 cm, D: 95 cm, Y: 70 cm).",assets/minegolden_p5_2.webp
19,Leon Ahşap 2'li Koltuk,living,sofas,18000,21000,Solo,Leon Ahşap Ayaklı Koltuk Takımı,DOĞAL CEVİZ AHŞAP AYAKLAR & FIRINLANMIŞ GÜRGEN KASA,"Leon serisi 2'li koltuk ünitesi (G: 190 cm, D: 95 cm, Y: 70 cm).",assets/minegolden_p5_3.webp
20,Leon Tekli Ahşap Berjer,living,armchairs,11000,13000,Solo,Leon Ahşap Ayaklı Koltuk Takımı,DOĞAL CEVİZ AHŞAP AYAKLAR & FIRINLANMIŞ GÜRGEN KASA,"Leon serisi ahşap ayaklı şık tekli berjer (G: 75 cm, D: 70 cm, Y: 95 cm).",assets/minegolden_p5_4.webp
21,Sahra Modern TV & Duvar Ünitesi,living,consoles,23900,28000,Set,,1. SINIF DOĞAL CEVİZ KAPLAMA MDF & TEMPERLİ CAM,"Sahra TV Ünitesi; doğal ceviz kaplama yüzeyi, şık füme cam kapakları ve geniş depolama çekmeceleriyle salonunuzun multimedya merkezidir.",assets/minegolden_p19_1.webp
